coluna,tipo,nulos,nulos_pct,distintos,nulo_esperado
NUMERO_REAVISO,int64,0,0.0,227926,False
IDUC,int64,0,0.0,26775,False
ANO_MES,object,0,0.0,25,False
DATA_EMISSAO,object,0,0.0,440,False
TARGET_PAGOU_ANTES_CORTE,int64,0,0.0,2,False
NOME_CLASSE,object,0,0.0,7,False
NOME_SUBCLASSE,object,0,0.0,43,False
FLAG_RESIDENCIAL,int64,0,0.0,2,False
FLAG_INDUSTRIAL,int64,0,0.0,2,False
FLAG_COMERCIAL,int64,0,0.0,2,False
FLAG_RURAL,int64,0,0.0,2,False
FLAG_PODER_PUBLICO,int64,0,0.0,2,False
FLAG_SERVICO_PUBLICO,int64,0,0.0,2,False
FLAG_BAIXA_RENDA,int64,0,0.0,1,False
MUNICIPIO,object,0,0.0,4,False
UF,object,0,0.0,1,False
NOME_BAIRRO,object,0,0.0,60,False
NOME_ROTA,object,0,0.0,141,False
DISJUNTOR,int64,0,0.0,44,False
KVA_DISPONIVEL,float64,0,0.0,4820,False
FLAG_DEBITO_CONTA,int64,0,0.0,2,False
FLAG_MICRO_GERACAO,int64,0,0.0,2,False
GRUPO_TENSAO,object,0,0.0,2,False
TOTAL_DEBITO,float64,0,0.0,54795,False
CANAL_ENTREGA,int64,0,0.0,1,True
PRORROGADO,int64,0,0.0,2,False
HAVIA_PRORROGACOES,int64,0,0.0,1,False
ORIGEM_REAVISO,int64,0,0.0,1,False
MES_REFERENCIA,int64,0,0.0,12,False
TRIMESTRE,int64,0,0.0,4,False
DIA_SEMANA_EMISSAO,int64,0,0.0,6,False
DIAS_ATE_LIMITE_CORTE,int64,0,0.0,33,False
QTDE_REAVISOS_3M,int64,0,0.0,8,False
QTDE_REAVISOS_6M,int64,0,0.0,15,False
QTDE_REAVISOS_12M,int64,0,0.0,25,False
QTDE_REAVISOS_TOTAL,int64,0,0.0,292,False
VALOR_MEDIO_DEBITO_12M,float64,12928,5.67,50055,True
MAX_DEBITO_HISTORICO,float64,2465,1.08,31789,True
FLAG_PAGOU_ULTIMO_REAVISO,int64,0,0.0,2,False
FLAG_PRORROGOU_12M,int64,0,0.0,1,False
VARIACAO_DEBITO_VS_MEDIA,float64,12928,5.67,1034,True
QTDE_CORTES_12M,int64,0,0.0,10,False
QTDE_CORTES_TOTAL,int64,0,0.0,65,False
FLAG_NAO_RELIGAR_AUTOMATICO,int64,0,0.0,2,False
MEDIA_DIAS_CORTADO,float64,144991,63.61,39,True
MAX_DIAS_CORTADO,float64,144991,63.61,13,True
MIN_DIAS_CORTADO,float64,144991,63.61,33,True
TAXA_RELIGOU_MESMO_DIA,float64,144991,63.61,14,True
FLAG_ULTIMO_RELIGOU_MESMO_DIA,int64,0,0.0,2,False
TAXA_RELIGACAO_AUTOMATICA,float64,43622,19.14,316,True
DIAS_DESDE_ULTIMO_CORTE,float64,54218,23.79,6962,True
ULTIMA_FORMA_EXECUCAO_CORTE,float64,54218,23.79,4,True
FLAG_CORTE_INDEVIDO_HISTORICO,int64,0,0.0,2,False
FLAG_NUNCA_FOI_CORTADO,int64,0,0.0,2,False
TAXA_PAG_CANAL_SMS,float64,215004,94.33,2,True
TAXA_PAG_CANAL_IMPRESSO,float64,2465,1.08,50,True
CANAL_IGUAL_AO_ULTIMO,int64,0,0.0,2,False
