coluna,tipo,nulos,nulos_pct,distintos,nulo_esperado
NUMERO_REAVISO,int64,0,0.0,79236,False
IDUC,int64,0,0.0,10541,False
ANO_MES,object,0,0.0,25,False
DATA_EMISSAO,object,0,0.0,505,False
TARGET_PAGOU_ANTES_CORTE,int64,0,0.0,2,False
NOME_CLASSE,object,0,0.0,8,False
NOME_SUBCLASSE,object,0,0.0,41,False
FLAG_RESIDENCIAL,int64,0,0.0,2,False
FLAG_INDUSTRIAL,int64,0,0.0,2,False
FLAG_COMERCIAL,int64,0,0.0,2,False
FLAG_RURAL,int64,0,0.0,2,False
FLAG_PODER_PUBLICO,int64,0,0.0,2,False
FLAG_SERVICO_PUBLICO,int64,0,0.0,2,False
FLAG_BAIXA_RENDA,int64,0,0.0,1,False
MUNICIPIO,object,727,0.92,11,False
UF,object,727,0.92,1,False
NOME_BAIRRO,object,0,0.0,114,False
NOME_ROTA,object,0,0.0,101,False
DISJUNTOR,int64,0,0.0,32,False
KVA_DISPONIVEL,float64,0,0.0,7472,False
FLAG_DEBITO_CONTA,int64,0,0.0,2,False
FLAG_MICRO_GERACAO,int64,0,0.0,2,False
GRUPO_TENSAO,object,0,0.0,2,False
TOTAL_DEBITO,float64,0,0.0,37207,False
CANAL_ENTREGA,int64,0,0.0,1,True
PRORROGADO,int64,0,0.0,2,False
HAVIA_PRORROGACOES,int64,0,0.0,1,False
ORIGEM_REAVISO,int64,0,0.0,4,False
MES_REFERENCIA,int64,0,0.0,12,False
TRIMESTRE,int64,0,0.0,4,False
DIA_SEMANA_EMISSAO,int64,0,0.0,5,False
DIAS_ATE_LIMITE_CORTE,int64,0,0.0,81,False
QTDE_REAVISOS_3M,int64,0,0.0,5,False
QTDE_REAVISOS_6M,int64,0,0.0,8,False
QTDE_REAVISOS_12M,int64,0,0.0,14,False
QTDE_REAVISOS_TOTAL,int64,0,0.0,270,False
VALOR_MEDIO_DEBITO_12M,float64,5650,7.13,35514,True
MAX_DEBITO_HISTORICO,float64,912,1.15,14791,True
FLAG_PAGOU_ULTIMO_REAVISO,int64,0,0.0,2,False
FLAG_PRORROGOU_12M,int64,0,0.0,1,False
VARIACAO_DEBITO_VS_MEDIA,float64,5650,7.13,871,True
QTDE_CORTES_12M,int64,0,0.0,7,False
QTDE_CORTES_TOTAL,int64,0,0.0,39,False
FLAG_NAO_RELIGAR_AUTOMATICO,int64,0,0.0,2,False
MEDIA_DIAS_CORTADO,float64,71969,90.83,5,True
MAX_DIAS_CORTADO,float64,71969,90.83,4,True
MIN_DIAS_CORTADO,float64,71969,90.83,5,True
TAXA_RELIGOU_MESMO_DIA,float64,71969,90.83,3,True
FLAG_ULTIMO_RELIGOU_MESMO_DIA,int64,0,0.0,2,False
TAXA_RELIGACAO_AUTOMATICA,float64,27698,34.96,35,True
DIAS_DESDE_ULTIMO_CORTE,float64,35035,44.22,5710,True
ULTIMA_FORMA_EXECUCAO_CORTE,float64,35035,44.22,2,True
FLAG_CORTE_INDEVIDO_HISTORICO,int64,0,0.0,2,False
FLAG_NUNCA_FOI_CORTADO,int64,0,0.0,2,False
TAXA_PAG_CANAL_SMS,float64,79236,100.0,0,True
TAXA_PAG_CANAL_IMPRESSO,float64,912,1.15,259,True
CANAL_IGUAL_AO_ULTIMO,int64,0,0.0,2,False
